Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
C1729133,204-3805550-1436353-1,SONG1934109207,amu,204-3805550-1436353,2024-08-12 17:48:36,Delivered,2024-08-16 13:24:00,2024-08-16 13:24:00
C1744203,689779362-1,DADAX0821226746,abe,689779362,2024-09-06 02:45:20,Delivered,2024-09-14 12:50:00,2024-09-14 12:50:00
C1748982,406-6869244-5509152-1,SONG0553278932,amf,406-6869244-5509152,2024-09-13 16:55:40,Delivered,2024-09-21 12:42:00,2024-09-21 12:42:00
C1744456,408-0708948-3171538-1,SONG0761542337,ampl,408-0708948-3171538,2024-09-06 20:44:40,Delivered,2024-09-16 16:01:00,2024-09-16 16:01:00
C1731112,B6987955-1,SONG1612121829,bib,B6987955,2024-08-16 01:59:07,Delivered,2024-08-23 10:55:00,2024-08-23 10:55:00
C1730385,404-6751637-5746764-1,SONG0879388196,amf,404-6751637-5746764,2024-08-14 18:51:45,Delivered,2024-08-20 10:35:00,2024-08-20 10:35:00
C1732719,B6991534-1,SONG0345320743,bib,B6991534,2024-08-19 07:22:52,Delivered,2024-08-26 14:27:00,2024-08-26 14:27:00
C1731404,407-4184953-9921953-1,SONG0345545052,ampl,407-4184953-9921953,2024-08-16 16:21:00,Delivered,2024-08-23 10:55:00,2024-08-23 10:55:00
C1752652,406-1952094-1018758-1,DADAX0785836462,amit,406-1952094-1018758,2024-09-19 00:59:27,Delivered,2024-09-24 18:58:00,2024-09-24 18:58:00
C1732062,688711912-1,SONG0933286279,abe,688711912,2024-08-17 09:13:00,Delivered,2024-08-30 11:11:00,2024-08-30 11:11:00
C1738966,B7005533-1,SONG0671736450,bib,B7005533,2024-08-29 06:03:21,Delivered,2024-09-10 10:28:00,2024-09-10 10:28:00
C1733004,B6992136-1,SONG1594394113,bib,B6992136,2024-08-19 21:46:52,Delivered,2024-08-30 13:00:00,2024-08-30 13:00:00
C1728917,688448119-1,SONG0744000009,abe,688448119,2024-08-11 17:28:43,Delivered,2024-08-17 11:44:00,2024-08-17 11:44:00
C1748505,171-2164194-2273907-1,SONG0736956263,amf,171-2164194-2273907,2024-09-12 23:12:08,Delivered,2024-09-23 17:56:00,2024-09-23 17:56:00
C1737959,689251935-2,SONG0913780022,abe,689251935,2024-08-27 08:58:07,Delivered,2024-09-04 12:17:00,2024-09-04 12:17:00
C1733488,408-7647684-6207524-1,SONG1586172468,amf,408-7647684-6207524,2024-08-20 18:38:33,Delivered,2024-08-31 12:56:00,2024-08-31 12:56:00
C1754147,690489825-1,SONG0785143688,abe,690489825,2024-09-20 14:18:44,Delivered,2024-09-28 12:43:00,2024-09-28 12:43:00
C1733701,688873254-1,DADAX0300227477,abe,688873254,2024-08-20 13:09:33,Delivered,2024-08-27 10:39:00,2024-08-27 10:39:00
C1731465,404-4442629-2892368-1,SONG1570626448,amf,404-4442629-2892368,2024-08-16 17:58:26,Delivered,2024-08-22 14:31:00,2024-08-22 14:31:00
Z306020,406-5875825-8541916-1-R1,SONG1419034359,amf,406-5875825-8541916,2024-08-31 13:14:48,Delivered,2024-09-09 14:41:00,2024-09-09 14:41:00
C1731357,171-5823307-7178716-1,SONG0415258766,ampl,171-5823307-7178716,2024-08-16 14:26:16,Delivered,2024-08-24 18:14:00,2024-08-24 18:14:00
C1741219,403-3044325-3936313-1,DADAX091330509X,ampl,403-3044325-3936313,2024-09-01 22:27:21,Delivered,2024-09-12 10:34:00,2024-09-12 10:34:00
C1745419,689874994-1,SONG0198221622,abe,689874994,2024-09-08 03:42:04,Delivered,2024-09-16 16:01:00,2024-09-16 16:01:00
Z307837,206-8943263-2289168-1-R1,SONG083480106X,amu,206-8943263-2289168,2024-09-19 02:09:39,Delivered,2024-09-26 14:09:00,2024-09-26 14:09:00
C1746075,407-1057799-7597124-1,SONG0739320831,amf,407-1057799-7597124,2024-09-09 14:34:16,Delivered,2024-09-17 10:53:00,2024-09-17 10:53:00
C1725271,205-1702849-8854712-1,SONG071125222X,amu,205-1702849-8854712,2024-08-05 04:48:46,Delivered,2024-08-12 12:00:00,2024-08-12 12:00:00
C1731666,407-5424958-6969907-1,SONG096244930X,amf,407-5424958-6969907,2024-08-16 23:35:34,Delivered,2024-08-27 10:39:00,2024-08-27 10:39:00
C1730954,688613668-1,SONG0834801086,abe,688613668,2024-08-15 06:45:41,Delivered,2024-08-21 12:02:00,2024-08-21 12:02:00
C1742446,689621673-1,SONG0070238901,abe,689621673,2024-09-03 07:28:33,Delivered,2024-09-10 13:11:00,2024-09-10 13:11:00
C1724216,688061240-1,SONG0553351923,abe,688061240,2024-08-02 13:19:25,Delivered,2024-08-13 14:13:00,2024-08-13 14:13:00
Z306825,T5FCZPM-1-R1,OBEAUB006SW94SI,onbuy.com,T5FCZPM,2024-08-28 12:08:19,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
N1618249,Y40221468-1,WBEAUB006SW94SI,walmart-Canada,Y40221468,2024-09-19 01:09:57,Delivered,2024-09-23 13:01:00,2024-09-23 13:01:00
N1610773,702-6002783-1653048-1,LIGHTB000J2NZ74,gm-amc,702-6002783-1653048,2024-09-03 23:56:46,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
N1610843,Y40049295-1,AUTOMB009D2RKYA,walmart-Canada,Y40049295,2024-09-04 05:09:50,Delivered,2024-09-10 13:11:00,2024-09-10 13:11:00
N1621391,701-8815348-3662669-1,LIGHTB000J2NZ74,gm-amc,701-8815348-3662669,2024-09-24 21:20:52,Delivered,2024-09-30 10:40:00,2024-09-30 10:40:00
N1598257,Y39722992-1,WBEAUB01GH03YT0,walmart-Canada,Y39722992,2024-08-05 06:08:59,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
N1599734,Y39770777-1,WBEAUB000H3CPOE,walmart-Canada,Y39770777,2024-08-09 07:08:24,Delivered,2024-08-19 11:01:00,2024-08-19 11:01:00
N1609753,Y40030513-1,WBEAUB01GH03YT0,walmart-Canada,Y40030513,2024-09-02 05:09:55,Delivered,2024-09-06 13:16:00,2024-09-06 13:16:00
N1609571,402-8765221-2069150-1,FURNIB0CFW3BNWH,GM-France,402-8765221-2069150,2024-09-02 03:29:12,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
C1737433,026-6134940-3961143-1,SONG0334049881,amu,026-6134940-3961143,2024-08-27 01:35:07,Delivered,2024-09-03 11:52:00,2024-09-03 11:52:00
C1754861,cs0-249-0294584-5018218-1,SONG0130280275,amau,cs0-249-0294584-5018218,2024-09-22 10:09:20,Delivered,2024-09-30 10:40:00,2024-09-30 10:40:00
C1754038,690481034-1,SONG0323057101,abe,690481034,2024-09-20 10:52:52,Delivered,2024-09-30 10:40:00,2024-09-30 10:40:00
C1755904,402-7351417-0157133-1,SONG0321543084,amit,402-7351417-0157133,2024-09-23 20:44:08,Delivered,2024-09-30 10:40:00,2024-09-30 10:40:00
C1728174,406-6925033-2451511-1,SONG1844096556,ampl,406-6925033-2451511,2024-08-10 12:38:19,Delivered,2024-08-29 10:41:00,2024-08-29 10:41:00
C1726801,205-3145763-4051536-1,SONG9810065574,amu,205-3145763-4051536,2024-08-07 23:05:12,Delivered,2024-09-30 10:40:00,2024-09-30 10:40:00
C1731919,206-2393620-7043542-1,SONG0137100477,amu,206-2393620-7043542,2024-08-17 13:26:43,Delivered,2024-09-04 12:13:00,2024-09-04 12:13:00
