Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
N1609571,402-8765221-2069150-1,FURNIB0CFW3BNWH,GM-France,402-8765221-2069150,2024-09-02 03:29:12,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
N1615627,171-5524189-2949165-1,GAUTOB000XAWQW2,GM-France,171-5524189-2949165,2024-09-12 21:06:25,Delivered,2024-09-28 12:42:00,2024-09-28 12:42:00
N1598485,405-3298734-8719522-1,GTOYSB000MVE52Q,GM-France,405-3298734-8719522,2024-08-05 17:33:56,Delivered,2024-08-14 12:32:00,2024-08-14 12:32:00
N1599500,404-2526049-6005131-1,GTOYSB07YXG4MCF,GM-France,404-2526049-6005131,2024-08-08 11:23:34,Delivered,2024-08-15 09:34:00,2024-08-15 09:34:00
N1598780,408-1635620-9401964-1,GBEAUB0BMZF7H3P,GM-France,408-1635620-9401964,2024-08-06 12:43:10,Delivered,2024-08-12 15:26:00,2024-08-12 15:26:00
N1598605,405-1366844-9631555-1,GBEAUB0BMZF7H3P,GM-France,405-1366844-9631555,2024-08-05 23:01:18,Delivered,2024-08-12 19:51:00,2024-08-12 19:51:00
N1598743,407-7182400-2689124-1,GBEAUB0BMZF7H3P,GM-France,407-7182400-2689124,2024-08-06 10:44:26,Delivered,2024-08-12 19:51:00,2024-08-12 19:51:00
N1598756,404-8384140-0275521-1,GBEAUB0BMZF7H3P,GM-France,404-8384140-0275521,2024-08-06 11:22:20,Delivered,2024-08-12 15:26:00,2024-08-12 15:26:00
N1598568,171-1425510-1978762-1,GBEAUB0BMZF7H3P,GM-France,171-1425510-1978762,2024-08-05 21:33:10,Delivered,2024-08-15 13:06:00,2024-08-15 13:06:00
N1618054,408-7979975-4453139-1,GTOYSB0CKFLGW5W,GM-France,408-7979975-4453139,2024-09-18 13:35:53,Delivered,2024-09-23 16:26:00,2024-09-23 16:26:00
N1618493,406-9344707-1110765-1,GTOYSB0CKFLGW5W,GM-France,406-9344707-1110765,2024-09-19 11:01:50,Delivered,2024-09-23 16:26:00,2024-09-23 16:26:00
N1599661,408-0520134-6145967-1,GTOYSB0CKFLGW5W,GM-France,408-0520134-6145967,2024-08-08 19:49:21,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
