Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
N1617433,701-1987979-8928206-1,CAUTOB006JSIHQQ,gm-amc,701-1987979-8928206,2024-09-17 02:25:58,Delivered,2024-09-19 14:21:56,2024-09-19 14:21:56
Z308025,702-7233077-3506669-1-R1,CTOYSB00PNBUWM2,gm-amc,702-7233077-3506669,2024-09-15 20:34:10,DELIVERED ,2024-09-26 12:16:23,
N1600288,Y39786514-1,KITCHB0C5ZCF1VT,walmart-Canada,Y39786514,2024-08-10 11:08:43,DELIVERED ,2024-08-14 10:51:15,
N1601528,702-9896344-9143429-1,ELELAB0B716G17F,gm-amc,702-9896344-9143429,2024-08-15 06:12:01,DELIVERED ,2024-08-19 10:06:15,
N1620278,404-7490008-0669149-1,FURNIB07H818GJK,GM-Italy,404-7490008-0669149,2024-09-23 07:36:17,DELIVERED ,2024-09-25 11:02:30,
N1615611,702-5422308-2153054-1,APPARB09LM3XWC3,gm-amc,702-5422308-2153054,2024-09-12 20:51:25,DELIVERED ,2024-09-16 10:21:12,
N1616494,Y40179268-1,ELECCB088RBW5WB,walmart-Canada,Y40179268,2024-09-15 04:09:28,DELIVERED ,2024-09-19 10:08:56,
N1617350,203-8123664-4602757-1,USPOAB074QLSQGN,gm-amuk,203-8123664-4602757,2024-09-16 21:25:45,DELIVERED ,2024-09-19 10:08:56,
Z308234,405-9316948-9017129-1-R1,HARDWB09W2H5MB2,GM-Italy,405-9316948-9017129,2024-09-19 07:21:37,DELIVERED ,2024-09-25 11:02:30,
Z308226,702-4019965-0964264-1-R1,HEALTB01LYVJRD6,GM_amazon_CA_Renewed,702-4019965-0964264,2024-09-19 18:09:27,DELIVERED ,2024-09-25 11:02:30,
N1621305,405-8095632-3485125-1,HEALTB0CD1JCWL1,GM-France,405-8095632-3485125,2024-09-24 19:13:17,DELIVERED ,2024-09-27 10:23:51,
N1621871,702-6598013-4302648-1,LIGHTB0BRZWC624,GM_amazon_CA_Renewed,702-6598013-4302648,2024-09-25 16:19:57,DELIVERED ,2024-09-30 09:35:07,
N1597836,408-2758229-4904332-1,BBAGPB0BL427C73,GM-France,408-2758229-4904332,2024-08-03 20:42:46,DELIVERED ,2024-08-07 10:12:24,
Z305340,701-3758326-4825007-2-R1,APPARB071YM17SD,GM_amazon_CA_Renewed,701-3758326-4825007,2024-08-22 11:31:40,DELIVERED ,2024-08-29 11:25:47,
N1612691,Y40086028-1,WBEAUB07WVYFSG5,walmart-Canada,Y40086028,2024-09-07 09:09:21,DELIVERED ,2024-09-12 10:10:38,
N1603670,701-3455655-4872265-1,HARDWB00NP4FCII,GM_amazon_CA_Renewed,701-3455655-4872265,2024-08-21 04:30:42,DELIVERED ,2024-08-26 09:37:53,
N1603150,702-2387686-1229806-1,HARDWB00NP4FCII,GM_amazon_CA_Renewed,702-2387686-1229806,2024-08-19 21:30:41,DELIVERED ,2024-08-23 10:09:54,
N1621297,702-3112597-3173009-1,HOMEEB07BNY8DBX,gm-amc,702-3112597-3173009,2024-09-24 19:38:44,DELIVERED ,2024-09-26 12:16:23,
N1622055,701-3769249-5209829-1,INDSCB000LNV85C,gm-amc,701-3769249-5209829,2024-09-25 21:09:41,DELIVERED ,2024-10-02 10:58:41,
