Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
N1615719,171-2198088-5807533-1,OFFACB0187S6CLM,GM-Spain,171-2198088-5807533,2024-09-12 09:09:31,DELIVERED ,2024-09-16 10:21:12,
N1606474,171-1300817-1784334-1,PATLGB07PHWBCP2,GM-Spain,171-1300817-1784334,2024-08-27 14:47:29,DELIVERED ,2024-08-30 10:11:11,
N1617276,405-9168158-4853132-1,HOMEEB0CH16RWYL,GM-Spain,405-9168158-4853132,2024-09-16 18:37:24,DELIVERED ,2024-09-19 11:06:38,
N1617729,171-9493152-8638723-1,FURNSB0BV9NGNJQ,GM-Spain,171-9493152-8638723,2024-09-17 16:56:01,DELIVERED ,2024-09-19 11:06:38,
N1613893,407-7588429-8933103-1,ELELAB07ZK5GYHN,GM-Spain,407-7588429-8933103,2024-09-09 11:02:39,DELIVERED ,2024-09-12 10:21:40,
N1615398,408-3154452-4885159-1,SBEAUB08XY6GDY9,GM-Spain,408-3154452-4885159,2024-09-12 13:42:43,DELIVERED ,2024-09-17 11:13:30,
N1615308,171-3010069-0121909-1,SBEAUB08XY6GDY9,GM-Spain,171-3010069-0121909,2024-09-12 08:10:25,DELIVERED ,2024-09-17 11:13:30,
N1618205,405-4181094-3156346-1,FOOTWB08RB11F23,GM-Spain,405-4181094-3156346,2024-09-18 18:02:07,DELIVERED ,2024-09-23 12:45:50,
N1505749,405-7232344-1417109-2,HEALTB00F99UHDM,GM-Spain,405-7232344-1417109,2024-04-03 10:03:43,Delivered,2024-04-05 17:26:55,2024-04-05 09:55:23
N1522958,403-9135159-3481120-1,KITCHB09MDM9FXV,GM-Spain,403-9135159-3481120,2024-05-07 07:43:21,Delivered,2024-05-18 00:12:29,2024-05-14 11:16:17
N1505722,405-7232344-1417109-1,HEALTB00F99UHDM,GM-Spain,405-7232344-1417109,2024-04-03 10:03:43,Delivered,2024-04-08 22:08:42,2024-04-08 11:23:46
N1618114,171-8812952-1641914-1,MUSINB077B7TYPL,GM-Spain,171-8812952-1641914,2024-09-18 15:00:34,DELIVERED ,2024-09-23 10:36:22,
N1605970,408-2936349-2109968-1,INDSCB00KY3YW2K,GM-Spain,408-2936349-2109968,2024-08-26 13:05:47,DELIVERED ,2024-08-29 11:25:47,
N1551014,405-2447966-5329104-1,INDSCB00KY3YVH6,GM-Spain,405-2447966-5329104,2024-06-15 20:21:53,Delivered,2024-06-19 11:13:02,
N1620396,403-9942087-1460316-1,KITCHB09JLXSQP8,GM-Spain,403-9942087-1460316,2024-09-23 12:41:50,DELIVERED ,2024-09-30 10:35:50,
N1615467,405-6986659-3125905-1,FURNSB08FB73NL4,GM-Spain,405-6986659-3125905,2024-09-12 15:52:59,DELIVERED ,2024-09-16 11:59:21,
N1517126,406-8553322-9359561-1,HOMEEB07486C8ZJ,GM-Spain,406-8553322-9359561,2024-04-24 22:02:02,Delivered,2024-04-30 02:23:16,2024-04-29 11:30:34
N1619497,408-5426882-1143552-1,SSPODB00W2W4FM8,GM-Spain,408-5426882-1143552,2024-09-21 15:30:33,DELIVERED ,2024-09-24 10:51:02,
N1615310,405-6939437-6651504-1,ELELAB07PCNJ37Z,GM-Spain,405-6939437-6651504,2024-09-12 08:41:42,DELIVERED ,2024-09-16 10:21:12,
N1620785,405-1611603-5636369-1,HOMEEB07LFM5XZM,GM-Spain,405-1611603-5636369,2024-09-23 22:58:35,DELIVERED ,2024-09-30 10:35:50,
Z307662,402-4952612-6047508-1-R1,SSPODB0C87HH11W,GM-Spain,402-4952612-6047508,2024-09-14 10:23:52,DELIVERED ,2024-09-24 11:36:43,
N1526521,406-7957962-9584357-1,OFFACB00JVBMQ5Q,GM-Spain,406-7957962-9584357,2024-05-16 10:57:04,Delivered,2024-05-22 06:43:14,2024-05-21 10:44:40
N1523918,406-9889838-3537941-1,KITCHB09MDM9FXV,GM-Spain,406-9889838-3537941,2024-05-09 12:24:39,Delivered,2024-05-16 00:29:16,2024-05-15 10:26:07
N1526712,402-8647308-8982717-1,SSPODB0BF9KRP2Z,GM-Spain,402-8647308-8982717,2024-05-16 21:37:27,Delivered,2024-05-25 23:11:21,2024-05-23 12:29:32
N1521884,402-3604657-6551507-1,SBEAUB0058K1YL6,GM-Spain,402-3604657-6551507,2024-05-04 22:21:42,Delivered,2024-05-09 22:32:21,2024-05-08 09:38:38
N1508125,171-1622626-7810719-1,SBEAUB07JBN2Y82,GM-Spain,171-1622626-7810719,2024-04-07 22:35:52,Delivered,2024-04-09 15:14:21,2024-04-09 10:00:22
N1615787,402-6217960-4029966-1,ELELAB0BG4PLQZT,GM-Spain,402-6217960-4029966,2024-09-13 10:45:37,DELIVERED ,2024-09-16 10:21:12,
N1615786,406-1162851-3741167-1,STOYSB0BZV6FH86,GM-Spain,406-1162851-3741167,2024-09-13 10:32:35,DELIVERED ,2024-09-16 10:21:12,
N1618792,407-9902755-8771534-1,FURNSB0BX9DGTGP,GM-Spain,407-9902755-8771534,2024-09-19 22:05:01,DELIVERED ,2024-09-23 10:36:22,
N1615546,408-7693219-0883533-1,SAUTOB09XQZ62CH,GM-Spain,408-7693219-0883533,2024-09-12 18:42:07,DELIVERED ,2024-09-16 11:59:21,
N1615309,407-7654798-6941901-1,INDSCB09GS3HLDJ,GM-Spain,407-7654798-6941901,2024-09-12 08:24:19,DELIVERED ,2024-09-16 10:21:12,
N1621627,406-5510183-1161165-1,FURNSB09YRNY3S4,GM-Spain,406-5510183-1161165,2024-09-25 06:53:54,DELIVERED ,2024-09-27 10:23:51,
N1616627,405-4189677-4265961-1,PETSSB08LR5RVQ4,GM-Spain,405-4189677-4265961,2024-09-15 11:22:41,DELIVERED ,2024-09-18 10:21:25,
N1481913,403-4463535-2161929-1,KITCHB0779JFJ99,GM-Spain,403-4463535-2161929,2024-02-22 22:33:25,Delivered,2024-02-26 23:24:36,2024-02-26 13:09:24
N1486136,171-1430377-2262742-1,SAUTOB000JFJLP6,GM-Spain,171-1430377-2262742,2024-03-01 13:41:00,Delivered,2024-03-05 02:34:16,2024-03-04 13:47:17
N1516898,402-2050636-4815559-3,FURNSB005KJIEG8,GM-Spain,402-2050636-4815559,2024-04-24 10:11:37,Delivered,2024-04-26 14:03:52,2024-04-26 09:46:00
N1516906,402-2050636-4815559-4,FURNSB005KJIEG8,GM-Spain,402-2050636-4815559,2024-04-24 10:11:37,Delivered,2024-04-26 14:03:55,2024-04-26 09:46:00
N1516855,402-2050636-4815559-1,FURNSB005KJIEG8,GM-Spain,402-2050636-4815559,2024-04-24 10:11:37,Delivered,2024-04-26 14:03:58,2024-04-26 09:46:00
N1516893,402-2050636-4815559-2,FURNSB005KJIEG8,GM-Spain,402-2050636-4815559,2024-04-24 10:11:37,Delivered,2024-04-26 14:04:02,2024-04-26 09:46:00
N1521201,408-9465040-9837955-1,PATLGB08668DHCM,GM-Spain,408-9465040-9837955,2024-05-03 08:43:59,Delivered,2024-05-07 03:34:14,2024-05-06 13:53:40
N1526113,406-0815688-8056351-1,STOYSB00RJN1IXO,GM-Spain,406-0815688-8056351,2024-05-15 12:19:57,Delivered,2024-05-18 00:18:32,2024-05-17 10:44:42
N1615815,403-9854249-6639563-1,ELELAB005T4W4E2,GM-Spain,403-9854249-6639563,2024-09-13 10:57:49,Delivered,2024-09-18 16:52:00,2024-09-18 16:52:00
N1613873,405-0423735-6300304-1,OFFACB000JCTH2Q,GM-Spain,405-0423735-6300304,2024-09-09 10:19:26,Delivered,2024-09-11 16:45:35,2024-09-11 16:45:35
N1482694,406-0057288-0241173-1,HARDWB01MPWN6BW,GM-Spain,406-0057288-0241173,2024-02-24 11:37:31,Delivered,2024-03-01 02:40:11,2024-02-29 13:52:50
N1506290,403-0766156-6111544-1,STOYSB0071F1K2O,GM-Spain,403-0766156-6111544,2024-04-04 12:31:05,Delivered,2024-04-09 23:53:15,2024-04-09 15:21:44
N1509163,405-0151057-1516369-1,SSPODB01718IPUK,GM-Spain,405-0151057-1516369,2024-04-09 19:09:53,Delivered,2024-04-13 22:48:24,2024-04-14 04:01:49
N1502173,405-5760436-8186751-1,SARTSB0024KUC84,GM-Spain,405-5760436-8186751,2024-03-27 13:27:10,Delivered,2024-04-04 16:05:49,2024-04-04 10:13:00
N1472494,171-9345676-4020310-1,INDSCB00LXM4AD2,GM-Spain,171-9345676-4020310,2024-02-04 19:07:16,Delivered,2024-02-07 20:12:41,2024-02-07 13:05:00
N1473318,408-0862523-8885920-1,HEALTB07FP5L2H7,GM-Spain,408-0862523-8885920,2024-02-05 08:59:01,Delivered,2024-02-10 20:12:42,2024-02-10 12:35:00
N1473631,405-9728250-9640320-1,SBEAUB01N3SSLSW,GM-Spain,405-9728250-9640320,2024-02-06 21:18:18,Delivered,2024-02-09 20:14:41,2024-02-09 13:00:00
N1475294,408-7904973-6165951-1,SBBAGB0016PKX1O,GM-Spain,408-7904973-6165951,2024-02-10 10:07:31,Delivered,2024-02-14 20:11:36,2024-02-14 09:58:00
N1476927,171-8180580-4325100-1,INDSCB08G9VCHF7,GM-Spain,171-8180580-4325100,2024-02-13 12:55:17,Delivered,2024-02-17 20:12:00,2024-02-17 12:13:00
N1481811,402-7852611-2829149-1,INDSCB08G9VCHF7,GM-Spain,402-7852611-2829149,2024-02-22 18:55:27,Delivered,2024-02-27 17:34:55,2024-02-27 11:59:00
N1496736,171-9083191-6872350-1,SSPODB0108OIBDA,GM-Spain,171-9083191-6872350,2024-03-19 11:03:09,Delivered,2024-03-22 15:17:15,2024-03-22 10:14:00
N1498129,408-3594880-3038731-1,INDSCB08DWWYLX6,GM-Spain,408-3594880-3038731,2024-03-21 15:58:39,Delivered,2024-03-24 00:17:35,2024-03-23 12:51:00
N1498567,408-3594880-3038731-2,INDSCB08DWWYLX6,GM-Spain,408-3594880-3038731,2024-03-21 15:58:39,Delivered,2024-03-24 00:17:38,2024-03-23 12:51:00
N1498568,408-3594880-3038731-3,INDSCB08DWWYLX6,GM-Spain,408-3594880-3038731,2024-03-21 15:58:39,Delivered,2024-03-24 00:17:40,2024-03-23 12:51:00
N1501402,402-0567084-2837910-2,SBEAUB00117YMUU,GM-Spain,402-0567084-2837910,2024-03-26 12:45:07,Delivered,2024-03-27 21:50:31,2024-03-27 10:55:00
N1501381,402-0567084-2837910-1,SBEAUB00117YMUU,GM-Spain,402-0567084-2837910,2024-03-26 12:45:07,Delivered,2024-03-27 21:50:34,2024-03-27 10:55:00
N1501407,402-0567084-2837910-3,SBEAUB00117YMUU,GM-Spain,402-0567084-2837910,2024-03-26 12:45:07,Delivered,2024-03-27 21:50:37,2024-03-27 10:55:00
N1501318,171-1807522-6003566-1,SAPPAB013CXC8C4,GM-Spain,171-1807522-6003566,2024-03-26 07:52:48,Delivered,2024-04-02 01:50:42,2024-04-01 13:53:00
N1501450,404-6271558-2699509-1,OFFACB0BQCY51TB,GM-Spain,404-6271558-2699509,2024-03-26 14:34:18,Delivered,2024-04-02 01:50:45,2024-04-01 13:53:00
N1498092,406-2009315-0655501-1,SBEAUB001T8JW6K,GM-Spain,406-2009315-0655501,2024-03-21 15:13:08,Delivered,2024-04-03 22:09:11,2024-04-03 10:32:00
N1503275,403-4167268-5730765-1,SAUTOB01KAXWL44,GM-Spain,403-4167268-5730765,2024-03-29 12:37:08,Delivered,2024-04-02 01:52:07,2024-04-01 14:40:00
N1507784,404-0899402-4555541-1,SBEAUB09BKCK1R5,GM-Spain,404-0899402-4555541,2024-04-07 07:48:15,Delivered,2024-04-10 17:05:02,2024-04-10 11:15:00
N1508362,406-8696712-9805142-1,INDSCB08G9VCHF7,GM-Spain,406-8696712-9805142,2024-04-08 10:25:48,Delivered,2024-04-12 20:58:03,2024-04-12 12:10:00
N1510145,171-4232456-6876312-1,SSPODB0733MWGLN,GM-Spain,171-4232456-6876312,2024-04-11 13:40:28,Delivered,2024-04-15 18:23:32,2024-04-15 11:38:00
N1510569,171-3004590-6281161-1,SBEAUB00CFD4JZW,GM-Spain,171-3004590-6281161,2024-04-12 06:52:42,Delivered,2024-04-19 16:29:32,2024-04-19 12:06:00
N1510546,407-5735460-7309105-1,SAUTOB004C0XKYM,GM-Spain,407-5735460-7309105,2024-04-12 06:26:48,Delivered,2024-04-24 21:03:48,2024-04-24 13:14:00
N1513990,406-4141490-8317106-1,PETSSB07G2SLQDW,GM-Spain,406-4141490-8317106,2024-04-18 09:29:30,Delivered,2024-04-22 19:50:44,2024-04-22 12:47:00
N1514541,407-1538284-3787518-2,SBEAUB0731M8NJJ,GM-Spain,407-1538284-3787518,2024-04-19 09:03:26,Delivered,2024-04-24 21:04:06,2024-04-24 13:14:00
N1514466,407-1538284-3787518-1,SBEAUB0731M8NJJ,GM-Spain,407-1538284-3787518,2024-04-19 09:03:26,Delivered,2024-04-24 21:04:09,2024-04-24 13:14:00
N1514617,402-1332717-7665914-1,SBEAUB09BKCK1R5,GM-Spain,402-1332717-7665914,2024-04-19 15:03:32,Delivered,2024-04-24 01:21:59,2024-04-23 16:39:00
N1517013,171-6702481-2610753-1,ELELAB00I3G272M,GM-Spain,171-6702481-2610753,2024-04-24 17:14:38,Delivered,2024-05-07 03:47:03,2024-05-06 18:59:00
Z281973,405-6847060-4918704-1-R2,ELELAB00A76E6T8,GM-Spain,405-6847060-4918704,2024-04-20 10:35:37,Delivered,2024-05-03 20:12:25,2024-05-03 13:46:00
N1519294,171-7754244-8092305-1,SSPODB01NBZJN9Z,GM-Spain,171-7754244-8092305,2024-04-29 13:24:41,Delivered,2024-05-04 06:55:56,2024-05-03 17:12:00
Z283106,402-2779996-8796360-1-R1,SBEAUB01KNMS40W,GM-Spain,402-2779996-8796360,2024-04-30 07:23:18,Delivered,2024-05-07 03:47:35,2024-05-06 18:59:00
N1520554,404-3582118-3748369-1,KITCHB002U9JSIE,GM-Spain,404-3582118-3748369,2024-05-01 22:56:03,Delivered,2024-05-07 03:47:40,2024-05-06 17:02:00
N1521664,404-2567290-3221115-1,HEALTB00O2ZU4HS,GM-Spain,404-2567290-3221115,2024-05-04 10:03:43,Delivered,2024-05-09 22:51:06,2024-05-09 13:02:00
N1523920,406-3000195-2712302-1,SSPODB006SBMZ9Y,GM-Spain,406-3000195-2712302,2024-05-09 16:46:55,Delivered,2024-05-14 15:59:38,2024-05-14 10:17:00
N1525312,405-3572562-2409159-1,HOMEEB07MTQZ1GJ,GM-Spain,405-3572562-2409159,2024-05-13 12:31:11,Delivered,2024-05-18 00:37:01,2024-05-17 12:36:00
N1526594,405-7957387-7732319-1,FURNIB01M708J42,GM-Spain,405-7957387-7732319,2024-05-16 15:21:20,Delivered,2024-05-18 23:39:44,2024-05-18 12:28:00
N1531204,403-2769085-6558752-1,INDSCB004OMAWIA,GM-Spain,403-2769085-6558752,2024-05-26 18:18:19,Delivered,2024-05-30 18:27:30,2024-05-30 12:47:00
Z291481,405-4459934-9069913-1-R1,KITCHB00FL3SULW,GM-Spain,405-4459934-9069913,2024-06-19 11:22:17,Delivered,2024-06-24 13:46:00,
N1620326,171-6851352-6145168-1,OFFACB01JSDCRFA,GM-Spain,171-6851352-6145168,2024-09-23 09:14:22,Delivered,2024-09-27 10:14:00,2024-09-27 10:14:00
N1620686,171-4254207-9286768-1,SBEAUB01FSZQU50,GM-Spain,171-4254207-9286768,2024-09-23 20:52:36,Delivered,2024-09-28 12:42:00,2024-09-28 12:42:00
N1621800,405-4027905-3391554-1,INDSCB01DUY3HQG,GM-Spain,405-4027905-3391554,2024-09-25 14:37:55,Delivered,2024-09-30 10:40:00,2024-09-30 10:40:00
N1517723,405-0790755-0913964-1,OFFACB0009HAHHA,GM-Spain,405-0790755-0913964,2024-04-26 07:03:48,Delivered,2024-04-30 02:43:17,2024-04-29 13:45:00
N1487706,408-4195484-2513130-1,SARTSB005EH4NL6,GM-Spain,408-4195484-2513130,2024-03-04 10:22:51,Delivered,2024-03-06 19:58:05,2024-03-06 11:21:00
N1496722,402-4502706-6241911-1,STOYSB00KRGNNTM,GM-Spain,402-4502706-6241911,2024-03-19 09:17:05,Delivered,2024-03-25 18:02:43,2024-03-25 12:47:00
N1514496,408-6905729-7737946-1,SARTSB0756LBB6H,GM-Spain,408-6905729-7737946,2024-04-19 10:11:26,Delivered,2024-04-22 19:53:16,2024-04-22 12:47:00
N1519172,403-4212580-9504358-1,SARTSB0756LBB6H,GM-Spain,403-4212580-9504358,2024-04-29 07:10:45,Delivered,2024-05-01 22:46:35,2024-05-01 12:38:00
N1520242,408-8601931-3690707-1,SARTSB013WTDO3A,GM-Spain,408-8601931-3690707,2024-05-01 09:53:26,Delivered,2024-05-07 19:21:14,2024-05-07 13:16:00
