Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
C1672017,B6884276-1,SONG0969263112,bib,B6884276,2024-05-12 23:44:57,Delivered,2024-05-25 23:08:33,2024-05-25 13:22:00
C1668900,205-8403475-8481957-1,SONG1589233840,amu,205-8403475-8481957,2024-05-08 08:10:11,Delivered,2024-05-17 00:23:41,2024-05-16 13:08:00
C1667507,171-5513416-7216325-1,SONG0316375365,amit,171-5513416-7216325,2024-05-06 20:31:28,Delivered,2024-05-14 02:23:37,2024-05-13 17:46:00
C1669575,405-3007627-0607514-1,SONG3822849308,ames,405-3007627-0607514,2024-05-09 03:01:01,Delivered,2024-05-16 00:25:59,2024-05-15 15:49:00
N1525179,407-8236870-1053112-2,GBEAUB00117YMUU,GM-France,407-8236870-1053112,2024-05-12 17:39:00,Delivered,2024-05-24 21:23:22,2024-05-24 11:47:00
Z296024,701-4935019-4223435-1-R1,BBAUTB009S2HJM8,gm-brazil,701-4935019-4223435,2024-06-30 14:17:20,Delivered,2024-07-16 17:40:00,
N1596813,406-0930986-8905147-1,ELELAB0CJZ9WM2L,GM-France,406-0930986-8905147,2024-07-31 21:05:30,Delivered,2024-08-05 16:02:00,2024-08-05 16:02:00
C1729133,204-3805550-1436353-1,SONG1934109207,amu,204-3805550-1436353,2024-08-12 17:48:36,Delivered,2024-08-16 13:24:00,2024-08-16 13:24:00
C1685193,cs0-701-3462825-2369856-1,SONG1482086921,amb,cs0-701-3462825-2369856,2024-05-30 18:46:14,Delivered,2024-06-27 14:53:00,
C1687771,cs0-702-5899947-1451441-1,DADAX0307386244,amb,cs0-702-5899947-1451441,2024-06-04 04:43:14,Delivered,2024-06-22 10:33:00,
C1744203,689779362-1,DADAX0821226746,abe,689779362,2024-09-06 02:45:20,Delivered,2024-09-14 12:50:00,2024-09-14 12:50:00
C1748982,406-6869244-5509152-1,SONG0553278932,amf,406-6869244-5509152,2024-09-13 16:55:40,Delivered,2024-09-21 12:42:00,2024-09-21 12:42:00
C1744456,408-0708948-3171538-1,SONG0761542337,ampl,408-0708948-3171538,2024-09-06 20:44:40,Delivered,2024-09-16 16:01:00,2024-09-16 16:01:00
C1731112,B6987955-1,SONG1612121829,bib,B6987955,2024-08-16 01:59:07,Delivered,2024-08-23 10:55:00,2024-08-23 10:55:00
