Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
C1672017,B6884276-1,SONG0969263112,bib,B6884276,2024-05-12 23:44:57,Delivered,2024-05-25 23:08:33,2024-05-25 13:22:00
C1668900,205-8403475-8481957-1,SONG1589233840,amu,205-8403475-8481957,2024-05-08 08:10:11,Delivered,2024-05-17 00:23:41,2024-05-16 13:08:00
C1667507,171-5513416-7216325-1,SONG0316375365,amit,171-5513416-7216325,2024-05-06 20:31:28,Delivered,2024-05-14 02:23:37,2024-05-13 17:46:00
C1669575,405-3007627-0607514-1,SONG3822849308,ames,405-3007627-0607514,2024-05-09 03:01:01,Delivered,2024-05-16 00:25:59,2024-05-15 15:49:00
N1534067,702-4022816-7659420-1,BSPODB001QU4ZJ0,gm-brazil,702-4022816-7659420,2024-05-30 03:13:58,Delivered,2024-06-04 09:28:14,
N1501917,Y38185239-1,WMIKIB0813WLWQ7,walmart-Canada,Y38185239,2024-03-27 06:03:10,Delivered,2024-04-02 19:12:15,2024-04-02 12:04:36
Z294697,701-0887402-2624250-1-R2,PATLGB01N2RGBAK,gm-amc,701-0887402-2624250,2024-06-27 16:03:00,Delivered,2024-07-09 14:02:48,
N1573262,Y39346429-1,WBABYB07S3L9B96,walmart-Canada,Y39346429,2024-07-04 06:07:51,Delivered,2024-07-15 11:25:47,
N1617433,701-1987979-8928206-1,CAUTOB006JSIHQQ,gm-amc,701-1987979-8928206,2024-09-17 02:25:58,Delivered,2024-09-19 14:21:56,2024-09-19 14:21:56
N1479923,T5969PY-2,OBEAUB000KK53L6,onbuy.com,T5969PY,2024-02-19 11:02:39,Delivered,2024-02-20 22:28:44,2024-02-20 11:17:32
N1508745,02-11426-85310-1,KITCHB0195UZZM8,EBAY_AU_NB,02-11426-85310,2024-04-09 03:04:00,Delivered,2024-04-10 16:50:38,2024-04-10 10:01:01
N1544021,203-6775374-1130716-1,BBAGPB06Y15RTS9,gm-amuk,203-6775374-1130716,2024-06-09 15:24:10,Delivered,2024-06-13 10:50:34,
Z293992,406-7036787-2590765-1-R1,SEBAGB08R8613TG,gm-amse,406-7036787-2590765,2024-06-25 09:20:22,Delivered,2024-07-03 10:41:34,
W689493,ERB472323-1,DADAX0976733455,EB,ERB472323,2024-02-29 03:53:48,Delivered,2024-03-04 18:14:04,2024-03-04 10:59:48
