Current_status,Tag,,Maps,That is 
Delivered,,,PA - In Process,Delivered
In Transit,,,PA - In Transit,going to delivered
Left JFK airport,,,PA - Not Delivered,Not Delivered
Shipment Information Received,,,PA - Not Found,Not found by PA
Arrived at Terminal Location,,,PA - Query,in Query sheet
Parcel processed at the hub,,,,
Received at JFK HUB,,,,
Tendered for Delivery,,,,
In Transit to ,,,,
Delivered to local carrier,,,,
Parcel processed at the depot,,,,
Shipment received at originating postal facility,,,,
Electronic information submitted by shipper,,,,
Shipment in Transit to the ePost Global Processing Center,,,,
In Transit to Canada Sort Facility,,,,
Arrived at USPS Regional Origin Facility,,,,
"Departed Shipping Partner Facility, USPS Awaiting Item",,,,
Departed USPS Regional Facility,,,,
Order received,,,,
The instruction data for this shipment have been provided by the sender to DHL electronically,,,,
Item in transit,,,,
Clearance processing completed - Import,,,,
"Pre-Shipment, USPS Awaiting Item",,,,
Item processed,,,,
Customs Clearance Complete,,,,
Depature Scan: Enroute to USPS,,,,
"Shipping Label Created, USPS Awaiting Item",,,,
"Picked Up By Shipping Partner, USPS Awaiting Item",,,,
Arrived at Canada Sorting Facility,,,,
Loaded to movement / tour vehicle,,,,
Departed from Facility,,,,
The parcel has left the parcel center.,,,,
Arrived at Post Office,,,,
ETA of delivery,,,,
"Shipment Received, Package Acceptance Pending",,,,
Arrived at Facility,,,,
The shipment has been processed in the parcel center of origin,,,,
Arrived at USPS Regional Facility,,,,
Item arrived,,,,
This parcel is on its way to the courier,,,,
Departed UPS Facility,,,,
"Shipper created a label, UPS has not received the package yet. ",,,,
Package processed,,,,
Shipment Delayed,,,,
En Route to Delivery Location,,,,
"Arrived Shipping Partner Facility, USPS Awaiting Item",,,,
Movement / tour vehicle arrived,,,,
Held for consignee collection,,,,
Votre Colissimo va bientôt nous être confié ! Il est en cours de préparation chez votre expéditeur.,,,,
The shipment has been processed in the destination parcel center,,,,
Attempted Delivery AI Shipment has been Reconsigned,,,,
Received from Prior Carrier,,,,
Item departed,,,,
The parcel has reached the parcel center.,,,,
We've received this parcel at the hub and will be sorted to the customers delivery depot,,,,
Order information received,,,,
The courier has received this parcel for delivery and will set a delivery time shortly,,,,
"In Transit to Next Facility, Arriving On Time",,,,
Processing at UPS Facility,,,,
Parcel Received and Processing,,,,
