shipment_no,log,current_status
C1770314,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Loss', '2024-10-14 11:52:37', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:44', 'sql']]",PA - In Transit
C1770169,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Loss', '2024-10-14 11:52:37', 'Admin'], ['SHPFW - Returned', '2024-10-14 12:06:49', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:44', 'sql']]",PA - In Transit
C1770166,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Loss', '2024-10-14 12:04:45', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:44', 'sql']]",PA - In Transit
C1770167,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Loss', '2024-10-14 12:09:23', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:44', 'sql']]",PA - In Transit
C1770158,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:44', 'sql']]",PA - In Transit
C1770151,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Loss', '2024-10-14 12:01:59', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:44', 'sql']]",PA - In Transit
C1770142,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:44', 'sql']]",PA - In Transit
C1770141,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Loss', '2024-10-14 11:52:37', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:44', 'sql']]",PA - In Transit
C1770139,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770140,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Delivered', '2024-10-14 12:03:09', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770138,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770137,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770136,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770146,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Returned', '2024-10-14 11:55:53', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770135,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770134,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770125,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770133,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - Not Delivered', '2024-10-14 12:05:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770132,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770131,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770120,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['SHPFW - Returning', '2024-10-14 12:09:28', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770129,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770126,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770143,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770124,"[['PA - In Transit', '2024-10-14 10:30:33', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770123,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770122,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770119,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770121,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770090,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770117,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770103,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636404,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770099,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770089,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770098,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770097,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770095,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770093,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636403,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770094,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636402,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770092,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770091,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770086,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636401,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770077,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770085,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636400,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770076,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770084,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770079,"[['PA - In Transit', '2024-10-14 10:31:00', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636399,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770075,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770074,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
