Shipment_number,Tag
C1672017,Priority
C1668900,Priority
C1667507,Delayed
C1669575,Delayed
N1534067,Delayed
N1501917,Delayed
Z294697,Priority
N1573262,Priority
N1617433,Priority
N1479923,Priority
N1508745,Priority
N1544021,Priority
Z293992,Priority
W689493,Priority
N1549373,Priority
N1549442,Priority
N1506309,Priority
N1481706,Priority
N1478283,Priority
Z287816,Priority
Z308025,Priority
Z286979,Priority
N1575279,Priority
N1512506,Priority
N1517621,Delayed
C1672017,Priority
C1668900,Priority
C1667507,Priority
C1669575,Priority
N1534067,Priority
N1501917,Priority
Z294697,Priority
N1573262,Priority
N1617433,Priority
N1479923,Priority
N1508745,Priority
N1544021,Priority
Z293992,Priority
W689493,Priority
N1549373,Priority
N1549442,Priority
N1506309,Priority
N1481706,Priority
N1478283,Priority
Z287816,Priority
Z308025,Priority
Z286979,Priority
N1575279,Priority
N1512506,Priority
N1517621,Priority
C1672017,Priority
C1668900,Priority
C1667507,Priority
C1669575,Priority
N1534067,Priority
N1501917,Priority
Z294697,Priority
N1573262,Priority
N1617433,Priority
N1479923,Priority
N1508745,Priority
N1544021,Priority
Z293992,Priority
W689493,Priority
N1549373,Priority
N1549442,Priority
N1506309,Priority
N1481706,Priority
N1478283,Priority
Z287816,Priority
Z308025,Priority
Z286979,Priority
N1575279,Priority
N1512506,Priority
N1517621,Priority
C1672017,Priority
C1668900,Priority
C1667507,Priority
C1669575,Priority
N1534067,Priority
N1501917,Priority
Z294697,Priority
N1573262,Priority
N1617433,Priority
N1479923,Priority
N1508745,Priority
N1544021,Priority
Z293992,Priority
W689493,Priority
N1549373,Priority
N1549442,Priority
N1506309,Priority
N1481706,Priority
N1478283,Priority
Z287816,Priority
Z308025,Priority
Z286979,Priority
N1575279,Priority
N1512506,Priority
N1517621,Priority
N1567613,Priority
Z296025,Priority
N1554821,Priority
N1508585,Priority
Z278524,Priority
N1599382,Priority
N1483619,Priority
N1483620,Priority
N1495495,Priority
N1508063,Priority
N1534634,Priority
N1537127,Priority
N1602000,Priority
N1549602,Priority
N1611288,Priority
N1494157,Priority
Z297854,Priority
Z297629,Priority
N1470405,Priority
Z284622,Priority
N1463799,Priority
N1466624,Priority
N1467603,Priority
N1469112,Priority
N1469456,Priority
C1672017,Priority
C1668900,Priority
C1667507,Priority
C1669575,Priority
N1534067,Priority
N1501917,Priority
Z294697,Priority
N1573262,Priority
N1617433,Priority
N1479923,Priority
N1508745,Priority
N1544021,Priority
Z293992,Priority
W689493,Priority
N1549373,Priority
N1549442,Priority
N1506309,Priority
N1481706,Priority
N1478283,Priority
Z287816,Priority
Z308025,Priority
Z286979,Priority
N1575279,Priority
N1512506,Priority
N1517621,Priority
C1672017,Priority
C1668900,Priority
C1667507,Priority
C1669575,Priority
N1534067,Priority
N1501917,Priority
Z294697,Priority
N1573262,Priority
N1617433,Priority
N1479923,Priority
N1508745,Priority
N1544021,Priority
Z293992,Priority
W689493,Priority
N1549373,Priority
N1549442,Priority
N1506309,Priority
N1481706,Priority
N1478283,Priority
Z287816,Priority
Z308025,Priority
Z286979,Priority
N1575279,Priority
N1512506,Priority
N1517621,Priority
C1672017,Priority
C1668900,Priority
C1667507,Priority
C1669575,Priority
N1534067,Priority
N1501917,Priority
Z294697,Priority
N1573262,Priority
N1617433,Priority
N1479923,Priority
N1508745,Priority
N1544021,Priority
Z293992,Priority
W689493,Priority
N1549373,Priority
N1549442,Priority
N1506309,Priority
N1481706,Priority
N1478283,Priority
Z287816,Priority
Z308025,Priority
Z286979,Priority
N1575279,Priority
N1512506,Priority
N1517621,Priority
